1,0.02,N/A,N/A,N/A,0.04,-0.02,0.15,N/A,N/A,-0.01,-0.00,N/A,N/A,N/A,N/A,N/A,N/A,0.12,N/A,-0.00,-0.02,N/A,0.04,N/A,N/A,N/A,N/A,0.07,0.03,-0.06,N/A,0.07,-0.01,-0.03,N/A,N/A,N/A,-0.04,0.13,0.19,N/A,N/A,N/A,0.12,N/A,-0.02,N/A
0.02,1,N/A,N/A,N/A,-0.02,0.11,0.33,N/A,N/A,-0.10,-0.06,N/A,N/A,N/A,N/A,N/A,N/A,0.08,N/A,0.11,-0.07,N/A,-0.00,N/A,N/A,N/A,N/A,0.07,0.05,0.05,N/A,-0.01,-0.10,0.04,N/A,N/A,N/A,-0.01,0.10,0.05,N/A,N/A,N/A,-0.04,N/A,0.04,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,-0.02,N/A,N/A,N/A,1,0.01,0.06,N/A,N/A,0.14,-0.05,N/A,N/A,N/A,N/A,N/A,N/A,0.14,N/A,0.03,-0.03,N/A,0.02,N/A,N/A,N/A,N/A,0.11,0.04,0.08,N/A,-0.01,0.14,0.04,N/A,N/A,N/A,0.10,0.08,0.16,N/A,N/A,N/A,0.14,N/A,0.06,N/A
-0.02,0.11,N/A,N/A,N/A,0.01,1,0.04,N/A,N/A,0.04,0.05,N/A,N/A,N/A,N/A,N/A,N/A,0.12,N/A,0.05,-0.04,N/A,-0.00,N/A,N/A,N/A,N/A,0.03,0.11,-0.02,N/A,0.06,0.04,0.02,N/A,N/A,N/A,0.03,0.05,0.04,N/A,N/A,N/A,-0.04,N/A,0.01,N/A
0.15,0.33,N/A,N/A,N/A,0.06,0.04,1,N/A,N/A,-0.04,-0.11,N/A,N/A,N/A,N/A,N/A,N/A,0.10,N/A,0.00,-0.04,N/A,0.01,N/A,N/A,N/A,N/A,0.13,0.05,-0.04,N/A,-0.11,-0.04,0.01,N/A,N/A,N/A,0.02,0.12,0.09,N/A,N/A,N/A,0.00,N/A,0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.10,N/A,N/A,N/A,0.14,0.04,-0.04,N/A,N/A,1,-0.05,N/A,N/A,N/A,N/A,N/A,N/A,0.06,N/A,0.05,0.08,N/A,-0.01,N/A,N/A,N/A,N/A,0.01,0.13,-0.01,N/A,0.02,1.00,0.02,N/A,N/A,N/A,0.03,-0.00,0.03,N/A,N/A,N/A,0.12,N/A,-0.06,N/A
