0.05,0.01,-0.03,-0.00,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,0.02,0.00,0.12,0.01,1,0.05,0.03,0.11,-0.02,-0.00,0.07,0.03,0.08,0.01,0.03,0.01,-0.03,0.04,0.03,0.02,-0.00,-0.00,0.02,-0.07,0.02,-0.02,-0.01,-0.01,0.02,0.03,-0.01,-0.00,-0.00
-0.07,0.10,-0.01,0.01,-0.03,0.07,0.12,0.07,-0.01,-0.03,-0.11,0.01,0.03,-0.03,0.05,1,0.06,0.01,-0.03,-0.02,-0.07,-0.01,-0.04,-0.04,0.04,-0.07,0.00,0.00,0.01,0.04,0.01,0.01,0.08,-0.01,0.04,0.05,0.01,0.04,0.03,0.01,0.04,0.03,0.03
0.00,0.04,0.02,0.11,0.02,0.04,0.08,0.02,-0.01,0.04,0.00,0.05,0.02,0.04,0.03,0.06,1,0.01,0.09,0.01,-0.06,0.00,0.05,0.04,0.07,0.04,0.02,0.03,0.03,0.01,0.01,-0.02,0.07,0.00,0.01,0.07,0.01,0.01,0.67,0.02,0.02,0.02,0.09
-0.01,-0.01,0.03,-0.01,0.06,0.10,-0.01,-0.02,0.09,0.01,0.03,0.03,-0.03,0.00,0.11,0.01,0.01,1,0.13,0.02,0.12,-0.01,0.02,0.01,0.00,0.00,0.01,0.04,0.02,0.02,-0.01,0.01,0.04,0.01,0.02,0.01,0.09,0.00,0.29,-0.02,0.11,0.03,-0.01
-0.06,-0.03,0.19,0.16,0.04,-0.07,0.03,-0.02,-0.04,0.06,0.12,0.05,0.00,0.00,-0.02,-0.03,0.09,0.13,1,-0.01,0.04,-0.01,0.00,0.04,0.04,0.08,0.04,0.18,-0.01,0.01,0.03,0.03,-0.02,0.09,0.01,-0.02,0.01,0.03,0.07,0.06,0.03,-0.00,-0.01
0.08,0.02,-0.00,0.03,0.02,-0.03,0.11,0.02,0.13,-0.01,-0.01,0.13,0.04,0.03,-0.00,-0.02,0.01,0.02,-0.01,1,0.04,0.15,-0.01,0.12,0.03,-0.06,0.02,-0.05,-0.00,-0.01,0.05,0.04,0.01,0.05,0.01,0.01,0.06,0.06,0.00,0.02,-0.00,0.14,-0.01
0.01,-0.12,0.03,-0.01,-0.01,0.15,-0.02,0.02,-0.00,0.00,-0.08,0.04,-0.00,0.02,0.07,-0.07,-0.06,0.12,0.04,0.04,1,-0.02,0.02,-0.04,-0.02,-0.04,-0.00,-0.06,0.15,-0.01,0.01,0.03,-0.02,-0.00,-0.03,0.01,0.01,-0.02,0.01,-0.05,0.02,0.02,-0.03
0.01,-0.01,-0.01,-0.00,0.05,-0.03,0.07,-0.01,0.13,0.03,0.03,0.00,0.04,0.04,0.03,-0.01,0.00,-0.01,-0.01,0.15,-0.02,1,0.00,0.02,0.03,-0.00,0.09,0.04,-0.03,0.00,0.00,-0.03,-0.01,0.04,0.01,-0.01,0.09,-0.02,0.01,0.09,0.06,0.03,-0.04
-0.00,0.04,-0.03,0.03,0.01,-0.00,0.04,0.01,0.01,0.06,0.05,-0.02,0.01,0.05,0.08,-0.04,0.05,0.02,0.00,-0.01,0.02,0.00,1,0.03,-0.01,0.11,0.01,0.10,-0.02,0.08,0.09,-0.03,0.04,0.01,-0.02,0.01,0.12,0.01,0.02,0.01,-0.01,0.01,0.01
-0.05,-0.05,-0.02,0.01,-0.01,-0.07,-0.01,0.01,0.28,0.03,0.05,0.03,-0.01,-0.05,0.01,-0.04,0.04,0.01,0.04,0.12,-0.04,0.02,0.03,1,0.03,-0.02,-0.01,0.03,-0.03,-0.03,0.07,-0.03,0.06,0.01,0.01,0.07,0.07,0.06,-0.01,-0.00,0.09,-0.01,0.05
0.02,0.04,0.01,0.01,0.01,-0.05,0.07,0.02,0.00,0.03,0.01,0.03,0.06,0.00,0.03,0.04,0.07,0.00,0.04,0.03,-0.02,0.03,-0.01,0.03,1,-0.00,0.04,0.03,0.00,0.02,0.03,-0.02,0.04,0.01,0.85,-0.02,-0.00,0.01,0.01,0.06,0.04,-0.00,-0.02
0.06,0.11,-0.04,0.01,0.02,0.03,0.02,0.01,0.01,0.15,0.12,-0.00,0.00,0.01,0.01,-0.07,0.04,0.00,0.08,-0.06,-0.04,-0.00,0.11,-0.02,-0.00,1,-0.05,0.08,0.05,0.55,-0.02,-0.04,-0.12,0.07,-0.02,0.00,0.02,-0.02,0.03,0.03,0.01,-0.00,0.03
-0.01,-0.04,0.12,0.02,0.24,0.09,-0.02,-0.00,0.01,0.02,-0.01,-0.01,0.01,0.07,-0.03,0.00,0.02,0.01,0.04,0.02,-0.00,0.09,0.01,-0.01,0.04,-0.05,1,0.10,-0.02,-0.02,0.03,0.02,0.05,0.08,0.01,0.01,-0.01,0.05,0.12,0.07,0.02,-0.00,-0.01
0.02,0.06,-0.06,-0.01,-0.03,0.04,-0.02,-0.01,0.03,0.25,0.09,-0.02,0.01,0.10,0.04,0.00,0.03,0.04,0.18,-0.05,-0.06,0.04,0.10,0.03,0.03,0.08,0.10,1,0.00,-0.02,0.02,0.02,0.06,0.24,0.01,0.04,0.00,-0.01,0.01,0.06,0.00,-0.01,-0.05
0.05,-0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.05,-0.02,-0.10,0.02,0.11,0.13,0.03,0.01,0.03,0.02,-0.01,-0.00,0.15,-0.03,-0.02,-0.03,0.00,0.05,-0.02,0.00,1,0.05,-0.00,0.20,0.16,-0.00,0.02,0.01,0.10,-0.03,0.07,0.03,0.07,0.05,-0.09
0.05,0.02,-0.02,0.00,0.01,-0.03,0.01,0.02,-0.03,0.17,0.03,-0.02,-0.00,0.03,0.02,0.04,0.01,0.02,0.01,-0.01,-0.01,0.00,0.08,-0.03,0.02,0.55,-0.02,-0.02,0.05,1,0.02,0.02,-0.03,0.11,0.01,-0.02,0.00,0.00,0.02,-0.00,-0.02,-0.00,0.04
-0.02,0.03,-0.01,-0.00,-0.01,0.02,-0.00,-0.01,0.20,0.05,0.05,0.01,-0.03,0.05,-0.00,0.01,0.01,-0.01,0.03,0.05,0.01,0.00,0.09,0.07,0.03,-0.02,0.03,0.02,-0.00,0.02,1,-0.01,0.02,0.06,0.04,0.03,0.01,-0.02,-0.01,0.05,-0.00,0.02,0.02
0.04,-0.11,0.01,0.02,0.03,0.02,-0.01,-0.04,0.00,0.05,-0.13,0.02,0.15,0.12,-0.00,0.01,-0.02,0.01,0.03,0.04,0.03,-0.03,-0.03,-0.03,-0.02,-0.04,0.02,0.02,0.20,0.02,-0.01,1,0.09,0.02,0.04,0.00,-0.00,-0.02,0.01,-0.02,-0.05,0.01,0.02
0.02,0.09,0.02,-0.00,0.04,0.00,-0.02,0.18,0.09,0.02,-0.04,0.01,0.02,0.14,0.02,0.08,0.07,0.04,-0.02,0.01,-0.02,-0.01,0.04,0.06,0.04,-0.12,0.05,0.06,0.16,-0.03,0.02,0.09,1,-0.02,0.02,0.01,-0.00,0.04,0.21,0.05,0.12,0.08,-0.09
-0.08,0.04,0.02,0.05,0.07,0.09,0.03,-0.02,0.01,0.59,0.10,-0.02,0.03,-0.01,-0.07,-0.01,0.00,0.01,0.09,0.05,-0.00,0.04,0.01,0.01,0.01,0.07,0.08,0.24,-0.00,0.11,0.06,0.02,-0.02,1,0.01,0.02,-0.02,-0.02,-0.02,-0.01,0.00,0.01,0.09
-0.01,0.05,0.01,-0.01,0.01,-0.01,0.01,0.00,0.00,0.01,0.01,0.06,-0.01,0.02,0.02,0.04,0.01,0.02,0.01,0.01,-0.03,0.01,-0.02,0.01,0.85,-0.02,0.01,0.01,0.02,0.01,0.04,0.04,0.02,0.01,1,-0.02,-0.01,0.00,0.01,-0.01,0.01,-0.00,0.01
0.03,0.03,0.04,0.03,0.01,0.13,0.45,-0.01,0.03,0.01,-0.04,0.01,0.34,0.05,-0.02,0.05,0.07,0.01,-0.02,0.01,0.01,-0.01,0.01,0.07,-0.02,0.00,0.01,0.04,0.01,-0.02,0.03,0.00,0.01,0.02,-0.02,1,0.04,0.12,0.02,0.04,0.07,0.13,0.02
0.01,0.04,0.02,0.01,0.04,0.01,0.02,0.09,0.18,-0.01,0.01,0.04,-0.00,0.07,-0.01,0.01,0.01,0.09,0.01,0.06,0.01,0.09,0.12,0.07,-0.00,0.02,-0.01,0.00,0.10,0.00,0.01,-0.00,-0.00,-0.02,-0.01,0.04,1,-0.01,-0.01,-0.01,0.04,0.08,0.00
0.17,0.02,-0.05,0.00,0.04,-0.01,0.11,-0.02,0.03,-0.05,-0.00,0.02,0.09,0.06,-0.01,0.04,0.01,0.00,0.03,0.06,-0.02,-0.02,0.01,0.06,0.01,-0.02,0.05,-0.01,-0.03,0.00,-0.02,-0.02,0.04,-0.02,0.00,0.12,-0.01,1,0.04,0.07,0.09,0.11,-0.02
0.07,0.02,0.04,0.01,0.03,0.05,-0.00,0.01,0.08,0.01,0.02,0.04,0.02,0.05,0.02,0.03,0.67,0.29,0.07,0.00,0.01,0.01,0.02,-0.01,0.01,0.03,0.12,0.01,0.07,0.02,-0.01,0.01,0.21,-0.02,0.01,0.02,-0.01,0.04,1,-0.00,0.01,0.01,-0.01
0.10,-0.00,-0.00,0.00,0.01,0.08,0.04,-0.01,-0.01,-0.00,0.04,0.01,0.06,0.03,0.03,0.01,0.02,-0.02,0.06,0.02,-0.05,0.09,0.01,-0.00,0.06,0.03,0.07,0.06,0.03,-0.00,0.05,-0.02,0.05,-0.01,-0.01,0.04,-0.01,0.07,-0.00,1,0.03,0.02,0.03
0.08,-0.00,0.02,0.00,-0.01,0.05,0.03,0.01,0.39,-0.01,-0.02,-0.02,0.10,0.03,-0.01,0.04,0.02,0.11,0.03,-0.00,0.02,0.06,-0.01,0.09,0.04,0.01,0.02,0.00,0.07,-0.02,-0.00,-0.05,0.12,0.00,0.01,0.07,0.04,0.09,0.01,0.03,1,0.04,-0.03
0.58,0.40,0.00,0.03,0.06,0.03,0.26,0.01,0.04,-0.01,0.00,0.06,0.25,0.02,-0.00,0.03,0.02,0.03,-0.00,0.14,0.02,0.03,0.01,-0.01,-0.00,-0.00,-0.00,-0.01,0.05,-0.00,0.02,0.01,0.08,0.01,-0.00,0.13,0.08,0.11,0.01,0.02,0.04,1,0.16
0.12,0.09,0.01,0.04,-0.01,0.11,0.05,0.01,-0.01,0.13,0.00,0.05,-0.01,-0.04,-0.00,0.03,0.09,-0.01,-0.01,-0.01,-0.03,-0.04,0.01,0.05,-0.02,0.03,-0.01,-0.05,-0.09,0.04,0.02,0.02,-0.09,0.09,0.01,0.02,0.00,-0.02,-0.01,0.03,-0.03,0.16,1
