1,0.05,0.01,0.07,0.01,0.00,0.01,-0.00,N/A,0.00,0.01,0.02,0.02,0.01,0.12,-0.02,0.10,0.00,0.01,0.04,N/A,0.02,N/A,-0.01,0.06,0.01,0.02,0.01,0.00
0.05,1,-0.01,0.06,-0.01,0.09,0.04,-0.03,N/A,-0.01,-0.02,0.10,0.08,0.07,0.10,-0.01,0.05,0.11,-0.00,0.10,N/A,-0.00,N/A,-0.03,-0.01,-0.03,0.04,-0.02,-0.01
0.01,-0.01,1,0.00,0.08,0.04,0.01,0.04,N/A,0.03,0.19,-0.01,0.08,0.07,0.00,0.06,0.06,-0.01,-0.03,-0.00,N/A,0.06,N/A,0.01,-0.01,0.10,0.03,0.19,0.26
0.07,0.06,0.00,1,-0.03,0.11,-0.04,0.17,N/A,-0.02,-0.00,0.09,0.01,-0.01,-0.04,0.05,0.19,0.02,0.05,0.01,N/A,0.05,N/A,-0.05,0.02,0.03,-0.02,0.00,-0.00
0.01,-0.01,0.08,-0.03,1,0.02,0.04,-0.02,N/A,0.02,0.04,0.02,0.01,-0.03,0.12,0.07,-0.03,0.03,0.01,-0.01,N/A,0.13,N/A,0.03,0.06,0.02,-0.03,0.04,0.17
0.00,0.09,0.04,0.11,0.02,1,0.04,0.04,N/A,0.02,0.13,0.04,0.23,0.02,0.01,0.00,0.03,0.13,-0.01,0.02,N/A,-0.00,N/A,0.01,0.02,0.02,0.02,0.13,0.01
0.01,0.04,0.01,-0.04,0.04,0.04,1,0.06,N/A,-0.01,0.11,0.01,0.02,0.33,0.32,0.02,-0.01,0.08,0.06,0.02,N/A,0.00,N/A,-0.01,0.04,0.04,0.00,0.11,0.04
-0.00,-0.03,0.04,0.17,-0.02,0.04,0.06,1,N/A,-0.01,0.07,0.13,-0.00,0.07,-0.05,0.12,0.16,-0.08,0.03,-0.03,N/A,0.03,N/A,0.03,0.03,-0.00,0.02,0.07,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.00,-0.01,0.03,-0.02,0.02,0.02,-0.01,-0.01,N/A,1,-0.00,-0.00,0.01,-0.00,0.09,-0.00,-0.03,-0.01,0.00,0.00,N/A,0.03,N/A,0.00,0.03,-0.01,0.00,-0.00,0.02
0.01,-0.02,0.19,-0.00,0.04,0.13,0.11,0.07,N/A,-0.00,1,0.03,0.08,-0.01,0.04,-0.02,0.05,0.09,0.07,0.03,N/A,0.03,N/A,0.02,-0.02,0.05,0.08,1.00,0.09
0.02,0.10,-0.01,0.09,0.02,0.04,0.01,0.13,N/A,-0.00,0.03,1,-0.01,-0.02,-0.06,0.03,0.11,0.00,0.07,0.02,N/A,0.00,N/A,0.03,0.07,0.10,0.07,0.04,-0.02
0.02,0.08,0.08,0.01,0.01,0.23,0.02,-0.00,N/A,0.01,0.08,-0.01,1,0.07,0.12,0.02,0.01,0.04,-0.02,0.07,N/A,0.01,N/A,0.01,0.01,0.04,0.02,0.08,0.02
0.01,0.07,0.07,-0.01,-0.03,0.02,0.33,0.07,N/A,-0.00,-0.01,-0.02,0.07,1,0.06,0.02,0.12,0.02,0.01,0.01,N/A,-0.00,N/A,0.03,0.06,-0.01,0.04,-0.01,-0.00
0.12,0.10,0.00,-0.04,0.12,0.01,0.32,-0.05,N/A,0.09,0.04,-0.06,0.12,0.06,1,0.07,-0.09,-0.04,-0.00,0.04,N/A,0.07,N/A,0.03,0.11,0.04,0.02,0.05,0.12
-0.02,-0.01,0.06,0.05,0.07,0.00,0.02,0.12,N/A,-0.00,-0.02,0.03,0.02,0.02,0.07,1,0.04,-0.02,-0.09,-0.01,N/A,0.01,N/A,-0.05,0.01,0.06,0.02,-0.02,0.15
0.10,0.05,0.06,0.19,-0.03,0.03,-0.01,0.16,N/A,-0.03,0.05,0.11,0.01,0.12,-0.09,0.04,1,0.10,0.05,0.04,N/A,0.00,N/A,-0.01,0.01,-0.00,0.11,0.05,0.04
0.00,0.11,-0.01,0.02,0.03,0.13,0.08,-0.08,N/A,-0.01,0.09,0.00,0.04,0.02,-0.04,-0.02,0.10,1,-0.00,-0.00,N/A,-0.02,N/A,-0.02,0.02,-0.00,0.24,0.09,0.02
0.01,-0.00,-0.03,0.05,0.01,-0.01,0.06,0.03,N/A,0.00,0.07,0.07,-0.02,0.01,-0.00,-0.09,0.05,-0.00,1,0.05,N/A,-0.04,N/A,0.01,0.04,-0.01,0.02,0.07,-0.02
0.04,0.10,-0.00,0.01,-0.01,0.02,0.02,-0.03,N/A,0.00,0.03,0.02,0.07,0.01,0.04,-0.01,0.04,-0.00,0.05,1,N/A,0.06,N/A,0.03,0.01,0.03,-0.00,0.03,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,-0.00,0.06,0.05,0.13,-0.00,0.00,0.03,N/A,0.03,0.03,0.00,0.01,-0.00,0.07,0.01,0.00,-0.02,-0.04,0.06,N/A,1,N/A,0.02,0.06,0.06,-0.01,0.03,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.03,0.01,-0.05,0.03,0.01,-0.01,0.03,N/A,0.00,0.02,0.03,0.01,0.03,0.03,-0.05,-0.01,-0.02,0.01,0.03,N/A,0.02,N/A,1,0.63,0.01,0.01,0.02,0.01
0.06,-0.01,-0.01,0.02,0.06,0.02,0.04,0.03,N/A,0.03,-0.02,0.07,0.01,0.06,0.11,0.01,0.01,0.02,0.04,0.01,N/A,0.06,N/A,0.63,1,-0.02,0.03,-0.01,0.05
0.01,-0.03,0.10,0.03,0.02,0.02,0.04,-0.00,N/A,-0.01,0.05,0.10,0.04,-0.01,0.04,0.06,-0.00,-0.00,-0.01,0.03,N/A,0.06,N/A,0.01,-0.02,1,0.01,0.05,-0.01
0.02,0.04,0.03,-0.02,-0.03,0.02,0.00,0.02,N/A,0.00,0.08,0.07,0.02,0.04,0.02,0.02,0.11,0.24,0.02,-0.00,N/A,-0.01,N/A,0.01,0.03,0.01,1,0.08,0.04
0.01,-0.02,0.19,0.00,0.04,0.13,0.11,0.07,N/A,-0.00,1.00,0.04,0.08,-0.01,0.05,-0.02,0.05,0.09,0.07,0.03,N/A,0.03,N/A,0.02,-0.01,0.05,0.08,1,0.09
0.00,-0.01,0.26,-0.00,0.17,0.01,0.04,0.04,N/A,0.02,0.09,-0.02,0.02,-0.00,0.12,0.15,0.04,0.02,-0.02,-0.02,N/A,0.07,N/A,0.01,0.05,-0.01,0.04,0.09,1
